Date,Station,AWND,PRCP,SNOW,TMAX,TMIN
20170508,DEN,56,117,0,233,94
20170509,DFW,51,0,0,278,194
20170509,ORD,30,33,0,161,56
20170509,SFO,48,0,0,239,106
20170509,DEN,36,3,0,200,106
20170510,DFW,71,0,0,278,222
20170510,ORD,34,221,0,194,67
20170510,SFO,55,0,0,200,117
20170510,DEN,58,56,0,122,83
20170511,DFW,55,5,0,317,206
20170511,ORD,41,0,0,183,94
20170511,SFO,47,0,0,206,111
20170511,DEN,51,0,0,172,67
20170512,DFW,72,0,0,278,167
20170512,ORD,27,0,0,228,72
20170512,SFO,93,0,0,178,106
20170512,DEN,62,0,0,256,56
20170513,DFW,25,0,0,289,144
20170513,ORD,39,0,0,278,83
20170513,SFO,84,0,0,178,94
20170513,DEN,46,0,0,294,89
20170514,DFW,43,0,0,328,156
20170514,ORD,35,0,0,217,106
20170514,SFO,75,0,0,167,94
20170514,DEN,51,0,0,244,67
20170515,DFW,64,0,0,322,206
20170515,ORD,40,5,0,278,100
20170515,SFO,83,0,0,172,100
20170515,DEN,49,0,0,289,100
20170516,DFW,91,0,0,294,211
20170516,ORD,65,0,0,306,161
20170516,SFO,82,0,0,172,111
20170516,DEN,53,25,0,222,61
20170517,DFW,73,30,0,328,206
20170517,ORD,90,94,0,289,167
20170517,SFO,75,0,0,189,100
20170517,DEN,57,130,0,228,44
20170518,DFW,83,0,0,344,250
20170518,ORD,85,0,0,256,89
20170518,SFO,47,0,0,244,94
20170518,DEN,65,287,0,56,6
20170519,DFW,84,0,0,317,222
20170519,ORD,72,58,0,100,61
20170519,SFO,47,0,0,267,111
20170519,DEN,64,23,0,39,6
20170520,DFW,44,15,0,278,194
20170520,ORD,47,86,0,178,89
20170520,SFO,47,0,0,306,111
20170520,DEN,35,0,0,167,11
20170521,DFW,43,20,0,278,172
20170521,ORD,57,13,0,183,106
20170521,SFO,59,0,0,250,117
20170521,DEN,39,69,0,194,17
20170522,DFW,32,46,0,278,167
20170522,ORD,57,3,0,228,89
20170522,SFO,58,0,0,211,106
20170522,DEN,48,36,0,194,61
20170523,DFW,50,13,0,256,167
20170523,ORD,30,84,0,167,128
20170523,SFO,66,0,0,206,111
20170523,DEN,50,0,0,172,50
20170524,DFW,50,0,0,283,144
20170524,ORD,63,43,0,167,117
20170524,SFO,41,0,0,206,117
20170524,DEN,49,0,0,289,22
20170525,DFW,76,0,0,339,156
20170525,ORD,39,0,0,206,111
20170525,SFO,73,0,0,183,128
20170525,DEN,63,36,0,261,83
20170526,DFW,80,0,0,356,239
20170526,ORD,34,135,0,217,111
20170526,SFO,52,0,0,183,122
20170526,DEN,49,13,0,233,72
20170527,DFW,84,0,0,333,267
20170527,ORD,24,0,0,256,111
20170527,SFO,61,0,0,194,122
20170527,DEN,34,51,0,144,72
20170528,DFW,35,43,0,283,222
20170528,ORD,31,0,0,250,133
20170528,SFO,77,0,0,178,122
20170528,DEN,36,18,0,217,50
20170529,DFW,27,0,0,317,194
20170529,ORD,52,0,0,250,128
20170529,SFO,77,0,0,156,117
20170529,DEN,31,5,0,206,83
20170530,DFW,19,0,0,333,189
20170530,ORD,52,0,0,233,122
20170530,SFO,99,0,0,172,111
20170530,DEN,40,13,0,239,72
20170531,DFW,28,0,0,333,211
20170531,ORD,47,0,0,233,111
20170531,SFO,65,0,0,211,122
